signal,signal_len,dataset,interval,count,anomaly_len
M-3,4164.0,MSL,21600.0,1.0,[250.0000462962963]
M-4,4114.0,MSL,21600.0,1.0,[250.0000462962963]
M-5,4335.0,MSL,21600.0,1.0,[300.0000462962963]
P-15,6538.0,MSL,21600.0,1.0,[20.000046296296297]
C-1,4422.0,MSL,21600.0,2.0,"[200.0000462962963, 110.00004629629629]"
C-2,2815.0,MSL,21600.0,2.0,"[100.00004629629629, 35.0000462962963]"
T-12,3575.0,MSL,21600.0,1.0,[120.00004629629629]
T-13,3575.0,MSL,21600.0,2.0,"[100.00004629629629, 150.0000462962963]"
F-4,5666.0,MSL,21600.0,1.0,[70.00004629629629]
F-5,6520.0,MSL,21600.0,1.0,[150.0000462962963]
D-14,6300.0,MSL,21600.0,2.0,"[20.000046296296297, 200.0000462962963]"
T-9,1535.0,MSL,21600.0,2.0,"[30.000046296296297, 80.00004629629629]"
P-14,8980.0,MSL,21600.0,1.0,[180.0000462962963]
T-8,2267.0,MSL,21600.0,2.0,"[60.0000462962963, 40.0000462962963]"
P-11,7504.0,MSL,21600.0,2.0,"[120.00004629629629, 106.00004629629629]"
D-15,4232.0,MSL,21600.0,1.0,[640.0000462962963]
D-16,3642.0,MSL,21600.0,1.0,[650.0000462962963]
M-7,3743.0,MSL,21600.0,1.0,[100.00004629629629]
F-8,5829.0,MSL,21600.0,1.0,[675.0000462962963]
real_59,1423.0,YAHOOA1,1.0,0.0,[]
real_65,1424.0,YAHOOA1,1.0,3.0,"[12.0, 2.0, 3.0]"
real_64,1441.0,YAHOOA1,1.0,0.0,[]
real_58,1435.0,YAHOOA1,1.0,1.0,[43.0]
real_66,1424.0,YAHOOA1,1.0,6.0,"[4.0, 3.0, 3.0, 1.0, 2.0, 8.0]"
real_67,1423.0,YAHOOA1,1.0,5.0,"[2.0, 6.0, 5.0, 4.0, 6.0]"
real_63,1439.0,YAHOOA1,1.0,1.0,[8.0]
real_62,741.0,YAHOOA1,1.0,5.0,"[2.0, 1.0, 1.0, 1.0, 2.0]"
real_60,1461.0,YAHOOA1,1.0,5.0,"[2.0, 3.0, 1.0, 5.0, 5.0]"
real_48,1439.0,YAHOOA1,1.0,1.0,[24.0]
real_49,1461.0,YAHOOA1,1.0,1.0,[3.0]
real_61,1441.0,YAHOOA1,1.0,2.0,"[23.0, 1.0]"
real_12,1439.0,YAHOOA1,1.0,2.0,"[1.0, 2.0]"
real_5,1439.0,YAHOOA1,1.0,1.0,[2.0]
real_4,1423.0,YAHOOA1,1.0,3.0,"[1.0, 1.0, 3.0]"
real_13,1439.0,YAHOOA1,1.0,3.0,"[3.0, 3.0, 6.0]"
real_39,1427.0,YAHOOA1,1.0,4.0,"[5.0, 3.0, 1.0, 1.0]"
real_11,1439.0,YAHOOA1,1.0,1.0,[19.0]
real_6,1439.0,YAHOOA1,1.0,1.0,[8.0]
real_7,1423.0,YAHOOA1,1.0,3.0,"[23.0, 23.0, 15.0]"
real_10,1439.0,YAHOOA1,1.0,1.0,[13.0]
real_38,1427.0,YAHOOA1,1.0,3.0,"[1.0, 2.0, 6.0]"
real_14,1439.0,YAHOOA1,1.0,1.0,[2.0]
real_28,1441.0,YAHOOA1,1.0,4.0,"[1.0, 79.0, 1.0, 1.0]"
real_3,1461.0,YAHOOA1,1.0,2.0,"[1.0, 14.0]"
real_2,1439.0,YAHOOA1,1.0,2.0,"[3.0, 13.0]"
real_29,1441.0,YAHOOA1,1.0,5.0,"[1.0, 2.0, 1.0, 2.0, 1.0]"
real_15,1439.0,YAHOOA1,1.0,3.0,"[2.0, 3.0, 5.0]"
real_17,1424.0,YAHOOA1,1.0,3.0,"[114.0, 35.0, 78.0]"
real_1,1420.0,YAHOOA1,1.0,2.0,"[1.0, 1.0]"
real_16,1461.0,YAHOOA1,1.0,1.0,[3.0]
real_33,1439.0,YAHOOA1,1.0,1.0,[2.0]
real_27,1427.0,YAHOOA1,1.0,2.0,"[1.0, 1.0]"
real_26,1435.0,YAHOOA1,1.0,5.0,"[7.0, 23.0, 26.0, 18.0, 1.0]"
real_32,1427.0,YAHOOA1,1.0,2.0,"[23.0, 24.0]"
real_18,1461.0,YAHOOA1,1.0,1.0,[3.0]
real_24,1461.0,YAHOOA1,1.0,3.0,"[1.0, 1.0, 14.0]"
real_30,1461.0,YAHOOA1,1.0,2.0,"[1.0, 8.0]"
real_31,1427.0,YAHOOA1,1.0,2.0,"[23.0, 1.0]"
real_25,1435.0,YAHOOA1,1.0,1.0,[43.0]
real_19,1424.0,YAHOOA1,1.0,3.0,"[113.0, 36.0, 78.0]"
real_21,1420.0,YAHOOA1,1.0,2.0,"[1.0, 5.0]"
real_35,1427.0,YAHOOA1,1.0,0.0,[]
real_34,1427.0,YAHOOA1,1.0,4.0,"[1.0, 1.0, 4.0, 1.0]"
real_20,1422.0,YAHOOA1,1.0,3.0,"[24.0, 2.0, 7.0]"
real_36,1461.0,YAHOOA1,1.0,2.0,"[4.0, 1.0]"
real_22,1420.0,YAHOOA1,1.0,1.0,[63.0]
real_9,1461.0,YAHOOA1,1.0,4.0,"[4.0, 1.0, 1.0, 2.0]"
real_8,1420.0,YAHOOA1,1.0,3.0,"[2.0, 1.0, 7.0]"
real_23,1420.0,YAHOOA1,1.0,12.0,"[2.0, 1.0, 1.0, 3.0, 3.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0]"
real_37,1434.0,YAHOOA1,1.0,2.0,"[31.0, 3.0]"
real_50,1439.0,YAHOOA1,1.0,1.0,[7.0]
real_44,1461.0,YAHOOA1,1.0,3.0,"[6.0, 1.0, 2.0]"
real_45,1440.0,YAHOOA1,1.0,1.0,[1.0]
real_51,1427.0,YAHOOA1,1.0,3.0,"[1.0, 2.0, 1.0]"
real_47,1427.0,YAHOOA1,1.0,5.0,"[4.0, 1.0, 2.0, 2.0, 1.0]"
real_53,1461.0,YAHOOA1,1.0,4.0,"[1.0, 1.0, 1.0, 14.0]"
real_52,1432.0,YAHOOA1,1.0,4.0,"[2.0, 2.0, 1.0, 6.0]"
real_46,1441.0,YAHOOA1,1.0,3.0,"[107.0, 1.0, 1.0]"
real_42,1440.0,YAHOOA1,1.0,3.0,"[10.0, 17.0, 17.0]"
real_56,1427.0,YAHOOA1,1.0,4.0,"[1.0, 2.0, 1.0, 1.0]"
real_57,1441.0,YAHOOA1,1.0,3.0,"[1.0, 1.0, 1.0]"
real_43,1440.0,YAHOOA1,1.0,3.0,"[5.0, 3.0, 24.0]"
real_55,1427.0,YAHOOA1,1.0,4.0,"[1.0, 2.0, 1.0, 1.0]"
real_41,1435.0,YAHOOA1,1.0,3.0,"[1.0, 1.0, 1.0]"
real_40,1427.0,YAHOOA1,1.0,2.0,"[79.0, 1.0]"
real_54,741.0,YAHOOA1,1.0,2.0,"[2.0, 2.0]"
synthetic_85,1421.0,YAHOOA2,1.0,2.0,"[2.0, 2.0]"
synthetic_91,1421.0,YAHOOA2,1.0,2.0,"[2.0, 2.0]"
synthetic_46,1421.0,YAHOOA2,1.0,2.0,"[2.0, 2.0]"
synthetic_52,1421.0,YAHOOA2,1.0,2.0,"[2.0, 2.0]"
synthetic_53,1421.0,YAHOOA2,1.0,3.0,"[3.0, 3.0, 3.0]"
synthetic_47,1421.0,YAHOOA2,1.0,3.0,"[3.0, 3.0, 3.0]"
synthetic_90,1421.0,YAHOOA2,1.0,1.0,[1.0]
synthetic_84,1421.0,YAHOOA2,1.0,1.0,[1.0]
synthetic_92,1421.0,YAHOOA2,1.0,3.0,"[3.0, 3.0, 3.0]"
synthetic_86,1421.0,YAHOOA2,1.0,3.0,"[3.0, 3.0, 3.0]"
synthetic_51,1421.0,YAHOOA2,1.0,1.0,[1.0]
synthetic_45,1421.0,YAHOOA2,1.0,1.0,[1.0]
synthetic_79,1421.0,YAHOOA2,1.0,2.0,"[2.0, 2.0]"
synthetic_78,1421.0,YAHOOA2,1.0,1.0,[1.0]
synthetic_100,1421.0,YAHOOA2,1.0,2.0,"[2.0, 2.0]"
synthetic_44,1421.0,YAHOOA2,1.0,3.0,"[3.0, 3.0, 3.0]"
synthetic_50,1421.0,YAHOOA2,1.0,3.0,"[3.0, 3.0, 3.0]"
synthetic_87,1421.0,YAHOOA2,1.0,1.0,[1.0]
synthetic_93,1421.0,YAHOOA2,1.0,1.0,[1.0]
synthetic_97,1421.0,YAHOOA2,1.0,2.0,"[2.0, 2.0]"
synthetic_83,1421.0,YAHOOA2,1.0,3.0,"[3.0, 3.0, 3.0]"
synthetic_68,1421.0,YAHOOA2,1.0,3.0,"[3.0, 3.0, 3.0]"
synthetic_54,1421.0,YAHOOA2,1.0,1.0,[1.0]
synthetic_40,1421.0,YAHOOA2,1.0,2.0,"[2.0, 2.0]"
synthetic_41,1421.0,YAHOOA2,1.0,3.0,"[3.0, 3.0, 3.0]"
synthetic_55,1421.0,YAHOOA2,1.0,2.0,"[2.0, 2.0]"
synthetic_69,1421.0,YAHOOA2,1.0,1.0,[1.0]
synthetic_82,1421.0,YAHOOA2,1.0,2.0,"[2.0, 2.0]"
synthetic_96,1421.0,YAHOOA2,1.0,1.0,[1.0]
synthetic_80,1421.0,YAHOOA2,1.0,3.0,"[3.0, 3.0, 3.0]"
synthetic_94,1421.0,YAHOOA2,1.0,2.0,"[2.0, 2.0]"
synthetic_43,1421.0,YAHOOA2,1.0,2.0,"[2.0, 2.0]"
synthetic_57,1421.0,YAHOOA2,1.0,1.0,[1.0]
synthetic_56,1421.0,YAHOOA2,1.0,3.0,"[3.0, 3.0, 3.0]"
synthetic_42,1421.0,YAHOOA2,1.0,1.0,[1.0]
synthetic_95,1421.0,YAHOOA2,1.0,3.0,"[3.0, 3.0, 3.0]"
synthetic_81,1421.0,YAHOOA2,1.0,1.0,[1.0]
synthetic_25,1421.0,YAHOOA2,1.0,2.0,"[2.0, 2.0]"
synthetic_31,1421.0,YAHOOA2,1.0,2.0,"[2.0, 2.0]"
synthetic_19,1421.0,YAHOOA2,1.0,2.0,"[2.0, 2.0]"
synthetic_18,1421.0,YAHOOA2,1.0,1.0,[1.0]
synthetic_30,1421.0,YAHOOA2,1.0,1.0,[1.0]
synthetic_24,1421.0,YAHOOA2,1.0,1.0,[1.0]
synthetic_32,1421.0,YAHOOA2,1.0,3.0,"[3.0, 3.0, 3.0]"
synthetic_26,1421.0,YAHOOA2,1.0,3.0,"[3.0, 3.0, 3.0]"
synthetic_27,1421.0,YAHOOA2,1.0,1.0,[1.0]
synthetic_33,1421.0,YAHOOA2,1.0,1.0,[1.0]
synthetic_8,1421.0,YAHOOA2,1.0,3.0,"[3.0, 3.0, 3.0]"
synthetic_37,1421.0,YAHOOA2,1.0,2.0,"[2.0, 2.0]"
synthetic_23,1421.0,YAHOOA2,1.0,3.0,"[3.0, 3.0, 3.0]"
synthetic_22,1421.0,YAHOOA2,1.0,2.0,"[2.0, 2.0]"
synthetic_36,1421.0,YAHOOA2,1.0,1.0,[1.0]
synthetic_9,1421.0,YAHOOA2,1.0,1.0,[1.0]
synthetic_20,1421.0,YAHOOA2,1.0,3.0,"[3.0, 3.0, 3.0]"
synthetic_34,1421.0,YAHOOA2,1.0,2.0,"[2.0, 2.0]"
synthetic_35,1421.0,YAHOOA2,1.0,3.0,"[3.0, 3.0, 3.0]"
synthetic_21,1421.0,YAHOOA2,1.0,1.0,[1.0]
synthetic_7,1421.0,YAHOOA2,1.0,2.0,"[2.0, 2.0]"
synthetic_10,1421.0,YAHOOA2,1.0,2.0,"[2.0, 2.0]"
synthetic_38,1421.0,YAHOOA2,1.0,3.0,"[3.0, 3.0, 3.0]"
synthetic_39,1421.0,YAHOOA2,1.0,1.0,[1.0]
synthetic_11,1421.0,YAHOOA2,1.0,3.0,"[3.0, 3.0, 3.0]"
synthetic_6,1421.0,YAHOOA2,1.0,1.0,[1.0]
synthetic_4,1421.0,YAHOOA2,1.0,2.0,"[2.0, 2.0]"
synthetic_13,1421.0,YAHOOA2,1.0,2.0,"[2.0, 2.0]"
synthetic_12,1421.0,YAHOOA2,1.0,1.0,[1.0]
synthetic_5,1421.0,YAHOOA2,1.0,3.0,"[3.0, 3.0, 3.0]"
synthetic_1,1421.0,YAHOOA2,1.0,2.0,"[2.0, 2.0]"
synthetic_16,1421.0,YAHOOA2,1.0,2.0,"[2.0, 2.0]"
synthetic_17,1421.0,YAHOOA2,1.0,3.0,"[3.0, 3.0, 3.0]"
synthetic_2,1421.0,YAHOOA2,1.0,3.0,"[3.0, 3.0, 3.0]"
synthetic_29,1421.0,YAHOOA2,1.0,3.0,"[3.0, 3.0, 3.0]"
synthetic_15,1421.0,YAHOOA2,1.0,1.0,[1.0]
synthetic_14,1421.0,YAHOOA2,1.0,3.0,"[3.0, 3.0, 3.0]"
synthetic_28,1421.0,YAHOOA2,1.0,2.0,"[2.0, 2.0]"
synthetic_3,1421.0,YAHOOA2,1.0,1.0,[1.0]
synthetic_98,1421.0,YAHOOA2,1.0,3.0,"[3.0, 3.0, 3.0]"
synthetic_67,1421.0,YAHOOA2,1.0,2.0,"[2.0, 2.0]"
synthetic_73,1421.0,YAHOOA2,1.0,2.0,"[2.0, 2.0]"
synthetic_72,1421.0,YAHOOA2,1.0,1.0,[1.0]
synthetic_66,1421.0,YAHOOA2,1.0,1.0,[1.0]
synthetic_99,1421.0,YAHOOA2,1.0,1.0,[1.0]
synthetic_70,1421.0,YAHOOA2,1.0,2.0,"[2.0, 2.0]"
synthetic_64,1421.0,YAHOOA2,1.0,2.0,"[2.0, 2.0]"
synthetic_58,1421.0,YAHOOA2,1.0,2.0,"[2.0, 2.0]"
synthetic_59,1421.0,YAHOOA2,1.0,3.0,"[3.0, 3.0, 3.0]"
synthetic_65,1421.0,YAHOOA2,1.0,3.0,"[3.0, 3.0, 3.0]"
synthetic_71,1421.0,YAHOOA2,1.0,3.0,"[3.0, 3.0, 3.0]"
synthetic_49,1421.0,YAHOOA2,1.0,2.0,"[2.0, 2.0]"
synthetic_75,1421.0,YAHOOA2,1.0,1.0,[1.0]
synthetic_61,1421.0,YAHOOA2,1.0,2.0,"[2.0, 2.0]"
synthetic_60,1421.0,YAHOOA2,1.0,1.0,[1.0]
synthetic_74,1421.0,YAHOOA2,1.0,3.0,"[3.0, 3.0, 3.0]"
synthetic_48,1421.0,YAHOOA2,1.0,1.0,[1.0]
synthetic_89,1421.0,YAHOOA2,1.0,3.0,"[3.0, 3.0, 3.0]"
synthetic_62,1421.0,YAHOOA2,1.0,3.0,"[3.0, 3.0, 3.0]"
synthetic_76,1421.0,YAHOOA2,1.0,2.0,"[2.0, 2.0]"
synthetic_77,1421.0,YAHOOA2,1.0,3.0,"[3.0, 3.0, 3.0]"
synthetic_63,1421.0,YAHOOA2,1.0,1.0,[1.0]
synthetic_88,1421.0,YAHOOA2,1.0,2.0,"[2.0, 2.0]"
A3Benchmark-TS12,1680.0,YAHOOA3,1.0,13.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS13,1680.0,YAHOOA3,1.0,9.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS11,1680.0,YAHOOA3,1.0,7.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS39,1680.0,YAHOOA3,1.0,12.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS38,1680.0,YAHOOA3,1.0,3.0,"[1.0, 1.0, 1.0]"
A3Benchmark-TS10,1680.0,YAHOOA3,1.0,9.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS28,1680.0,YAHOOA3,1.0,2.0,"[1.0, 1.0]"
A3Benchmark-TS14,1680.0,YAHOOA3,1.0,15.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS15,1680.0,YAHOOA3,1.0,6.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS29,1680.0,YAHOOA3,1.0,4.0,"[1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS17,1680.0,YAHOOA3,1.0,1.0,[1.0]
A3Benchmark-TS16,1680.0,YAHOOA3,1.0,9.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS65,1680.0,YAHOOA3,1.0,7.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS71,1680.0,YAHOOA3,1.0,16.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS59,1680.0,YAHOOA3,1.0,11.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS5,1680.0,YAHOOA3,1.0,2.0,"[1.0, 1.0]"
A3Benchmark-TS4,1680.0,YAHOOA3,1.0,6.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS58,1680.0,YAHOOA3,1.0,3.0,"[1.0, 1.0, 1.0]"
A3Benchmark-TS70,1680.0,YAHOOA3,1.0,9.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS64,1680.0,YAHOOA3,1.0,8.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS72,1680.0,YAHOOA3,1.0,8.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS66,1680.0,YAHOOA3,1.0,1.0,[1.0]
A3Benchmark-TS6,1680.0,YAHOOA3,1.0,6.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS99,1680.0,YAHOOA3,1.0,11.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS98,1680.0,YAHOOA3,1.0,13.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS7,1680.0,YAHOOA3,1.0,5.0,"[1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS67,1680.0,YAHOOA3,1.0,16.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS73,1680.0,YAHOOA3,1.0,15.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS77,1680.0,YAHOOA3,1.0,16.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS63,1680.0,YAHOOA3,1.0,10.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS88,1680.0,YAHOOA3,1.0,12.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS3,1680.0,YAHOOA3,1.0,6.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS2,1680.0,YAHOOA3,1.0,16.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS89,1680.0,YAHOOA3,1.0,13.0,"[2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS62,1680.0,YAHOOA3,1.0,12.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS76,1680.0,YAHOOA3,1.0,5.0,"[1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS48,1680.0,YAHOOA3,1.0,13.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS60,1680.0,YAHOOA3,1.0,12.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS74,1680.0,YAHOOA3,1.0,6.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS1,1680.0,YAHOOA3,1.0,11.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS75,1680.0,YAHOOA3,1.0,14.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS61,1680.0,YAHOOA3,1.0,13.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS49,1680.0,YAHOOA3,1.0,16.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS44,1680.0,YAHOOA3,1.0,16.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS50,1680.0,YAHOOA3,1.0,7.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS78,1680.0,YAHOOA3,1.0,15.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS87,1680.0,YAHOOA3,1.0,7.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS93,1680.0,YAHOOA3,1.0,15.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS92,1680.0,YAHOOA3,1.0,8.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS86,1680.0,YAHOOA3,1.0,13.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS79,1680.0,YAHOOA3,1.0,5.0,"[1.0, 1.0, 1.0, 1.0, 1.0]"
